Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,True,2013,1100472.0
ALASKA BOTANICAL GARDEN,ALASKA BOTANICAL GARDEN INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,False,2013,1323742.0
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INC,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AK,6,True,2013,729080.0
ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,True,2013,1100472.0
ALASKA JEWISH MUSEUM,ALASKA JEWISH HISTORICAL MUSEUM AND CULTURAL CENTER,GENERAL MUSEUM,AK,6,True,2013,68748.0
ALASKA LIGHTHOUSE ASSOCIATION,ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,AK,6,False,2013,16500.0
ALASKA SPORTS HALL OF FAME,ALASKA SPORTS HALL OF FAME INC,GENERAL MUSEUM,AK,6,True,2013,615273.0
ALASKA STATE MUSEUM,FRIENDS OF THE ALASKA STATE MUSEUM,GENERAL MUSEUM,AK,6,True,2013,129192.0
ALASKA TROOPER MUSEUM,FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO,GENERAL MUSEUM,AK,6,True,2013,221807.0
ALASKA WILDLIFE CONSERVATION CENTER,ALASKA WILDLIFE CONSERVATION CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,False,2013,2793744.0
ALASKA ZOO,ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AK,6,False,2013,2393748.0
ALUTIIQ HERITAGE ENDOWMENT,THE ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,AK,6,False,2013,15734.0
ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,AK,6,True,2013,1055839.0
ANCHORAGE MUSEUM,ANCHORAGE MUSEUM FOUNDATION,GENERAL MUSEUM,AK,6,True,2013,4116780.0
BARANOV MUSEUM,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,False,2013,576316.0
BUNNELL STREET GALLERY,BUNNELL STREET ARTS CENTER,ART MUSEUM,AK,6,True,2013,335104.0
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,AK,6,False,2013,59819.0
CARR-GOTTSTEIN GALLERY,ALASKA PACIFIC UNIVERSITY,ART MUSEUM,AK,6,True,2013,63692296.0
CENTER FOR ALASKAN COASTAL STUDIES,CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,False,2013,908922.0
CHILKAT INDIAN VILLAGE,FOUNDATION FOR THE CHILKAT CENTER FOR THE ARTS,HISTORIC PRESERVATION,AK,6,False,2013,0.0
CLAUDIA KELSEY DOLL MUSEUM,CLAUDIA KELSEY DOLL MUSEUM TR DBA AUNT CLAUDIAS DOLLS A MUS,GENERAL MUSEUM,AK,6,True,2013,0.0
CORDOVA HISTORICAL SOCIETY,CORDOVA HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,False,2013,34193.0
DENALI NATIONAL PARK AND PRESERVE,DENALI EDUCATION CENTER,HISTORIC PRESERVATION,AK,6,False,2013,1416741.0
